,Card Name,Card Set,Card Purchase Price,Card Current Price
139,Dimir Keyrune,Gatecrash,$0.17,0.17
140,Explore the Underdark,Commander Legends: Battle for Baldur's Gate,$0.10,0.20
141,Gate Colossus,Commander Legends: Battle for Baldur's Gate,$0.04,0.06
142,Gond Gate,Commander Legends: Battle for Baldur's Gate,$0.25,0.32
143,Heap Gate,Commander Legends: Battle for Baldur's Gate,$0.10,0.13
144,Manor Gate,Commander Legends: Battle for Baldur's Gate,$0.16,0.21
145,Mind Stone ,WPN & Gateway Promos,$0.60,
146,Sea Gate,Commander Legends: Battle for Baldur's Gate,$0.16,0.20
147,Spellskite ,Secret Lair Drop Series,$4.77,3.69
148,Aqueous Form,Commander Legends,$0.18,0.17
149,Arcane Signet,Commander: Streets of New Capenna,$1.03,0.36
150,"Ashiok, Dream Render",War of the Spark,$2.11,1.11
151,"Ashiok, Nightmare Muse",Theros Beyond Death,$4.18,2.97
152,Author of Shadows,Commander 2021,$0.54,0.20
153,Bojuka Bog,Worldwake,$1.13,0.53
154,Burnished Hart,Commander 2021,$0.19,0.11
155,Charcoal Diamond,Commander Legends,$0.15,0.12
156,Choked Estuary,Commander: Streets of New Capenna,$0.34,0.17
157,Command Tower,Commander 2021,$0.23,0.73
158,Consuming Aberration,Commander 2016,$0.86,0.39
159,Court of Cunning,Commander Legends,$0.75,1.98
160,Curse of the Swine,Theros,$0.44,0.39
161,Darkwater Catacombs,Commander 2019,$0.18,0.16
162,Deadeye Tracker,Ixalan,$0.10,0.28
163,Dimir Signet,Commander: Streets of New Capenna,$1.12,0.58
164,Dissipate,Innistrad: Midnight Hunt,$0.06,0.09
165,Doom Blade,Magic 2011 (M11),$0.19,0.22
166,Draugr Necromancer,Kaldheim,$0.15,0.23
167,Dread Presence,Core Set 2020,$1.67,1.70
168,Drown in Dreams,Commander: Innistrad: Midnight Hunt,$3.24,4.45
169,Ebony Fly,Commander: Adventures in the Forgotten Realms,$0.13,0.65
170,Evolving Wilds,Innistrad: Crimson Vow,$0.08,
171,Faceless Butcher,Torment,$0.19,0.22
172,Fathom Feeder,Battle for Zendikar,$0.13,0.24
173,Fleshwrither,Future Sight,$0.64,2.11
174,Forgotten Creation,Commander: Innistrad: Midnight Hunt,$0.20,0.17
175,Fractured Sanity,Modern Horizons 2,$0.49,0.43
176,"Grazilaxx, Illithid Scholar",Adventures in the Forgotten Realms,$1.04,0.33
177,Heartless Act,Ikoria: Lair of Behemoths,$0.23,0.18
178,Honored Heirloom,Innistrad: Crimson Vow,$0.10,0.10
179,Island,Core Set 2021,$0.46,
180,Island,Guilds of Ravnica,$0.46,
181,Island,Zendikar Rising,$0.37,
182,Island,Zendikar Rising,$0.43,
183,King Narfi's Betrayal,Kaldheim,$0.14,0.10
184,Lantern of the Lost,Innistrad: Crimson Vow,$0.18,0.10
185,Maddening Cacophony,Zendikar Rising,$1.58,3.09
186,Mask of Griselbrand,Innistrad: Midnight Hunt,$0.50,0.55
187,Mind Flayer,Adventures in the Forgotten Realms,$0.38,14.84
188,Mind Stone,Commander 2014,$0.87,
189,Myriad Landscape,Commander 2021,$0.12,0.19
190,Nightmare Shepherd,Theros Beyond Death,$0.49,0.35
191,Nihil Spellbomb,Scars of Mirrodin,$0.32,0.55
192,Oblivion Sower,Battle for Zendikar,$2.15,1.43
193,"Oona, Queen of the Fae",Commander: Zendikar Rising,$0.40,0.69
194,Overcharged Amalgam,Innistrad: Crimson Vow,$0.55,0.21
195,Path of Ancestry,Commander: Streets of New Capenna,$0.11,0.42
196,Phyrexian Rager,Eternal Masters,$0.14,0.08
197,Phyrexian Revoker,Magic 2015 (M15),$1.05,0.25
198,Prismatic Lens,Time Spiral: Remastered,$0.42,0.40
199,Prowler's Helm,Theros,$0.29,0.62
200,Ravenous Chupacabra,Rivals of Ixalan,$0.68,0.24
201,Read the Bones,Magic Origins,$0.21,0.20
202,Reality Shift,Fate Reforged,$0.88,0.44
203,Resculpt,Strixhaven: School of Mages,$0.28,0.29
204,Rogue's Passage,Commander 2021,$0.23,0.42
205,Scavenger Grounds,Commander 2020,$1.79,2.74
206,Sentinel Totem,Ixalan,$0.08,0.08
207,Sign in Blood,Magic 2010 (M10),$0.22,0.76
208,Sky Diamond,Commander Legends,$0.19,0.13
209,Sludge Monster,Innistrad: Midnight Hunt,$0.23,0.21
210,Sol Ring,Commander 2020,$1.21,0.05
211,Sphere of Annihilation,Adventures in the Forgotten Realms,$0.25,0.12
212,Sunken Hollow,Commander: Streets of New Capenna,$0.45,0.24
213,Swamp,Zendikar Rising,$0.32,0.98
214,Swiftfoot Boots,Commander 2014,$1.37,0.80
215,Syphon Mind,Commander,$1.13,0.34
216,Temple of Deceit,Theros Beyond Death,$0.60,0.16
217,Terramorphic Expanse,Magic 2011 (M11),$0.23,0.43
218,Thief of Sanity,Commander: Streets of New Capenna,$0.24,0.46
219,Tormod's Crypt,Magic 2015 (M15),$0.30,0.22
220,"Umbris, Fear Manifest",Commander: Innistrad: Crimson Vow,$4.50,6.08
221,Underworld Connections,Commander 2015,$0.16,0.18
222,Void Shatter,Oath of the Gatewatch,$0.18,0.14
223,Wharf Infiltrator,Eldritch Moon,$0.29,0.12
224,Whispering Madness,Commander 2016,$0.79,0.99
225,Whispersilk Cloak,Darksteel,$1.87,
226,Winged Boots,Commander: Adventures in the Forgotten Realms,$0.20,2.39
227,Yarok's Fenlurker,Core Set 2020,$0.25,0.22
228,All That Glitters,Throne of Eldraine,$1.43,1.62
229,Alseid of Life's Bounty,Theros Beyond Death,$0.25,0.27
230,Austere Command,Iconic Masters,$2.50,0.68
231,Ethereal Armor,Return to Ravnica,$0.31,0.42
232,Gods Willing,Masters 25,$0.10,0.09
233,Hyena Umbra,Ultimate Masters,$0.35,0.18
234,Lizard Blades ,Kamigawa: Neon Dynasty,$1.63,0.76
235,Open the Armory,Commander Legends,$0.53,0.92
236,Selfless Savior,Core Set 2021,$0.20,0.22
237,"Sram, Senior Edificer",Aether Revolt,$0.14,0.38
238,Vow of Duty,Commander Legends,$0.06,0.05
239,Altar's Reap,Magic 2014 (M14),$0.20,0.41
240,Azorius Guildgate,Commander: Kaldheim,$0.15,0.96
241,Blighted Woodland,Commander: Streets of New Capenna,$0.17,0.08
242,Boros Guildgate,Commander Legends,$0.08,0.12
243,Bound // Determined,Dissension,$0.25,0.35
244,Broken Bond,Dominaria,$0.04,0.27
245,"Budoka Gardener // Dokai, Weaver of Life",Commander 2018,$0.62,1.22
246,Burnished Hart,Commander 2019,$0.20,0.11
247,Child of Alara,From the Vault: Annihilation,$13.88,0.77
248,Circuitous Route,Guilds of Ravnica,$0.44,0.70
249,Costly Plunder,Double Masters,$0.23,0.24
250,Creeping Renaissance,Innistrad,$0.76,1.51
251,Crop Rotation,Commander 2020,$1.72,1.13
252,Diabolic Tutor,Magic 2010 (M10),$0.78,1.53
253,Dimir Guildgate,Modern Masters 2017,$0.20,0.21
254,District Guide,Guilds of Ravnica,$0.05,0.11
255,Dredge,Invasion,$0.24,0.25
256,Evolving Wilds,Commander Legends,$0.09,
257,Expedition Map,Zendikar,$1.69,2.56
258,Explore,Commander: Streets of New Capenna,$0.17,0.15
259,Final Parting,Dominaria,$0.79,0.86
260,Footsteps of the Goryo,Saviors of Kamigawa,$3.49,5.23
261,Forest,Core Set 2020,$0.78,2.15
262,Forest,Kaldheim,$0.75,2.15
263,Forest,Theros Beyond Death,$0.68,2.15
264,Frantic Search,Commander: Streets of New Capenna,$0.42,0.24
265,Gatecreeper Vine,Return to Ravnica,$0.23,0.24
266,Gateway Plaza,Ravnica Allegiance,$0.06,0.11
267,Ghirapur Orrery,Kaladesh,$0.63,0.92
268,Golgari Guildgate,Commander 2019,$0.15,0.12
269,Grim Backwoods,Commander 2020,$0.24,0.24
270,Grixis Panorama,Commander: Streets of New Capenna,$0.19,0.21
271,Growth Spiral,Commander Legends,$0.33,0.37
272,Gruul Guildgate,Gatecrash,$0.13,0.19
273,Guild Summit,Guilds of Ravnica,$0.22,0.33
274,High Market,Commander: Adventures in the Forgotten Realms,$0.89,2.87
275,Hour of Promise,Hour of Devastation,$0.58,1.02
276,Infernal Offering,Commander 2021,$0.10,0.14
277,Innocent Blood,Eternal Masters,$0.13,0.16
278,Inspiring Statuary,Aether Revolt,$6.99,0.20
279,Island,Promo Pack: Core Set 2020,$0.60,
280,Island,Ravnica Allegiance,$0.50,
281,Island,Rivals of Ixalan,$0.90,
282,Island,Theros Beyond Death,$3.12,
283,Izzet Guildgate,Commander 2019,$0.10,0.15
284,Journey of Discovery,Mirrodin,$0.19,0.23
285,Jund Panorama,Commander: Streets of New Capenna,$0.15,0.19
286,Kiora's Follower,Born of the Gods,$0.24,0.36
287,Krosan Wayfarer,Judgment,$0.22,0.14
288,Llanowar Scout,Dominaria,$0.15,0.17
289,Manifold Key,Core Set 2020,$0.94,0.27
290,Maze's End,Prerelease Cards,$5.13,2.30
291,Mountain,Kaldheim,$0.87,0.10
292,Naya Charm,Commander: Zendikar Rising,$0.15,0.21
293,Open the Gates,Ravnica Allegiance,$0.12,0.21
294,Orzhov Guildgate,Modern Masters 2017,$0.30,0.35
295,Perilous Research,Modern Masters,$0.27,0.31
296,Pir's Whim,The List,$0.55,1.46
297,Plains,Ikoria: Lair of Behemoths,$0.25,0.07
298,Rakdos Guildgate,Return to Ravnica,$0.13,0.19
299,Read the Runes,Jumpstart,$0.29,0.78
300,Realm Seekers,Conspiracy,$0.52,0.38
301,Reap and Sow,Darksteel,$0.18,0.02
302,Recollect,Core Set 2019,$0.09,0.02
303,Restock,Magic 2015 (M15),$0.20,0.19
304,Rewind,Core Set 2021,$0.25,0.26
305,Rites of Flourishing,Commander 2016,$0.89,1.19
306,Rogue's Passage,Commander: Streets of New Capenna,$0.26,0.42
307,Scapeshift,Morningtide,$16.98,19.21
308,Scour from Existence,Battle for Zendikar,$0.19,0.19
309,Seedborn Muse,Commander 2019,$10.14,15.83
310,Seeds of Renewal,Commander 2016,$0.90,0.73
311,Selesnya Guildgate,Commander: Zendikar Rising,$0.15,0.24
312,Shrine of the Forsaken Gods,Battle for Zendikar,$0.24,0.47
313,Simic Guildgate,Gatecrash,$0.09,0.15
314,Skyshroud Ranger,Tempest,$0.16,0.50
315,Soul of New Phyrexia,Commander 2016,$1.60,0.35
316,Stone-Seeder Hierophant,Ravnica: City of Guilds,$0.23,0.30
317,Summer Bloom,Visions,$1.35,0.46
318,Swamp,Core Set 2021,$0.43,0.98
319,Sylvan Scrying,Battle for Zendikar,$0.25,0.34
320,Tariff,Weatherlight,$0.28,0.32
321,"Tatyova, Benthic Druid",Dominaria,$2.56,0.37
322,Tempt with Discovery,Commander 2016,$1.19,4.20
323,Terramorphic Expanse,Commander 2019,$0.25,0.43
324,The Mending of Dominaria,Dominaria,$0.35,0.26
325,Treasured Find,Return to Ravnica,$0.14,0.29
326,"Tymaret, the Murder King",Theros,$0.18,0.13
327,Unwind,Dominaria,$0.29,0.36
328,Urban Evolution,Commander Legends,$0.10,0.16
329,Virtus's Maneuver,Battlebond,$1.00,0.96
330,Vizier of Tumbling Sands,Amonkhet,$0.18,0.19
331,Voyaging Satyr,Theros,$0.07,0.09
332,Walking Atlas,Worldwake,$1.07,0.94
333,Warped Landscape,Shadows over Innistrad,$0.25,0.31
334,Wilderness Reclamation,Ravnica Allegiance,$2.24,2.22
335,Wildest Dreams,Kaladesh,$0.39,0.31
336,Perplexing Test,Commander 2021,$2.25,0.57
337,Vizier of Tumbling Sands,Amonkhet,$0.15,0.19
338,"Rebbec, Architect of Ascension",Commander Legends,$0.16,0.14
339,Wonder,Modern Horizons 2,$0.29,1.89
340,Unwinding Clock,New Phyrexia,$6.99,4.70
341,Raffine's Tower ,Streets of New Capenna,$8.35,10.24
342,Spara's Headquarters ,Streets of New Capenna,$7.45,7.32
343,Jetmir's Garden ,Streets of New Capenna,$6.89,7.52
344,Xander's Lounge ,Streets of New Capenna,$6.95,6.57
345,Ziatora's Proving Ground ,Streets of New Capenna,$7.49,6.67
346,"Akiri, Fearless Voyager",Zendikar Rising,$0.28,0.30
347,Argentum Armor,Commander: Adventures in the Forgotten Realms,$0.37,0.59
348,Armored Skyhunter,Commander Legends,$0.53,1.33
349,Fighter Class,Adventures in the Forgotten Realms,$1.47,4.11
350,Mask of Memory,Mystery Booster Cards,$0.33,0.14
351,Masterwork of Ingenuity,Commander 2014,$0.58,1.12
352,Moonsilver Spear,Commander: Adventures in the Forgotten Realms,$0.16,0.26
353,"Rograkh, Son of Rohgahh",Commander Legends,$0.24,0.40
354,"Rograkh, Son of Rohgahh",Commander Legends,$0.29,0.40
355,Bludgeon Brawl,New Phyrexia,$0.22,0.24
356,Brass Squire,Mirrodin Besieged,$0.17,0.26
357,Colossus Hammer,Commander: Adventures in the Forgotten Realms,$0.95,2.94
358,Daybreak Coronet,Ultimate Masters,$8.13,6.91
359,Diabolic Tutor,Magic 2014 (M14),$0.60,1.53
360,Final Parting,Dominaria,$1.00,0.86
361,"Grothama, All-Devouring",Battlebond,$5.00,6.20
362,Palladium Myr,Scars of Mirrodin,$0.33,0.71
363,Puresteel Paladin,Commander: Adventures in the Forgotten Realms,$4.00,7.78
364,Satoru Umezawa,Buy-A-Box Promos,$1.99,0.20
365,View from Above,Conflux,$0.13,0.20
366,Paradise Plume,Commander 2021,$0.07,0.08
367,Introduction to Prophecy,Strixhaven: School of Mages,$0.09,0.07
368,Wings of Hubris,Theros Beyond Death,$0.02,0.05
369,Boots of Speed,Adventures in the Forgotten Realms,$0.05,0.08
370,Dungeon Map,Adventures in the Forgotten Realms,$0.03,0.11
371,"Etali, Primal Storm",Commander: Streets of New Capenna,$0.34,0.28
372,Exhibition Magician,Streets of New Capenna,$0.01,0.02
373,Fleetfeather Sandals,Theros,$0.05,0.14
374,Orazca Relic,Commander: Adventures in the Forgotten Realms,$0.04,0.10
375,Seer's Lantern,Oath of the Gatewatch,$0.06,0.04
376,Shredded Sails,Ikoria: Lair of Behemoths,$0.06,0.06
377,Manalith,Magic 2012 (M12),$0.09,0.77
378,Haunted Cloak,Shadows over Innistrad,$0.25,0.03
379,Crystal Slipper,Throne of Eldraine,$0.02,0.04
380,Grinning Ignus,Time Spiral: Remastered,$0.01,0.07
381,Honor the God-Pharaoh,War of the Spark,$0.02,0.06
382,Unstable Obelisk,Commander 2014,$0.06,0.12
383,Executioner's Hood,Dark Ascension,$0.08,0.16
384,Gleaming Barrier,Double Masters,$0.10,0.09
385,Electric Revelation,Innistrad: Midnight Hunt,$0.04,0.04
386,Raze the Effigy,Innistrad: Midnight Hunt,$0.07,0.07
387,Cobbled Wings,Ixalan,$0.05,0.05
388,Hierophant's Chalice,Ixalan,$0.09,0.10
389,Rummaging Goblin,Ixalan,$0.01,0.02
390,Smashing Success,Kaldheim,$0.01,0.05
391,Gilded Pinions,Streets of New Capenna,$0.02,0.04
392,Involuntary Employment,Streets of New Capenna,$0.01,0.09
393,Riveteers Requisitioner,Streets of New Capenna,$0.03,0.06
394,Suspicious Bookcase,Streets of New Capenna,$0.04,0.04
395,Unlucky Witness,Streets of New Capenna,$0.08,0.08
396,Humble Defector,Commander Legends,$0.07,0.15
397,Component Pouch,Commander: Adventures in the Forgotten Realms,$0.07,0.24
398,Explorer's Scope,Commander: Adventures in the Forgotten Realms,$0.10,0.18
399,Esper Sentinel ,Modern Horizons 2 Variants,$24.99,28.49
400,"Najeela, the Blade-Blossom ",Commander Legends Variants,$8.99,13.68
401,"Kenrith, the Returned King ",Promotional,$4.39,3.00
402,Balduvian Rage,Double Masters Foil,$0.20,0.12
403,Beetleback Chief,Duel Decks,$0.39,0.24
404,Brute Force,Planar Chaos,$0.28,0.14
405,Desert of the Fervent,Hour of Devastation,$0.20,0.11
406,Dragon Fodder,Modern Masters 2017 Foil,$0.20,0.12
407,Emrakul's Hatcher,Rise of the Eldrazi,$0.23,0.22
408,Fall of the Hammer,Mystery Booster/The List,$0.20,0.20
409,Flare,Mirage,$0.20,0.15
410,Forgotten Cave,Onslaught,$0.28,0.12
411,Ghirapur Gearcrafter,Duel Decks,$0.20,0.10
412,Goblin Freerunner,Oath of the Gatewatch,$0.20,0.08
413,Goblin Heelcutter,Fate Reforged,$0.20,0.08
414,Hedron Crawler,Oath of the Gatewatch,$0.20,0.15
415,Impulsive Pilferer,Commander Legends,$0.20,0.14
416,Inner Fire,Saviors of Kamigawa,$0.79,0.26
417,Iron Myr,Scars of Mirrodin,$0.79,0.36
418,Manakin,Iconic Masters,$0.28,0.23
419,Rites of Initiation,Odyssey,$0.20,0.27
420,Smoldering Crater,Urza's Saga,$0.31,0.04
421,Stun,Invasion,$0.20,0.79
422,Zap,Invasion,$0.20,
423,Battle Hymn,Avacyn Restored,$1.49,0.69
424,Blindblast,War of the Spark,$0.25,0.06
425,Boiling Blood,Mystery Booster/The List,$0.25,0.16
426,Brute Strength,Game Night 2019,$0.25,0.15
427,Distemper of the Blood,Eldritch Moon,$0.25,0.06
428,Empty the Warrens ,Dominaria Remastered Variants Foil,$0.35,0.10
429,Expedite,Oath of the Gatewatch,$0.25,0.16
430,Firebrand Archer,Hour of Devastation,$0.79,0.54
431,Fists of Flame ,Commander Legends,$0.25,0.16
432,Goblin Battle Jester,2013 Core Set,$0.25,0.09
433,Goblin Instigator,Core Set 2019,$0.49,0.13
434,Goblin Matron,Dominaria Remastered,$0.25,0.15
435,Goblin Wizardry,Core Set 2021,$0.25,0.04
436,Gravitic Punch,Mystery Booster/The List,$0.25,0.07
437,Gray Merchant of Asphodel,Theros Beyond Death,$1.29,0.50
438,Hordeling Outburst,Masters 25,$0.29,0.24
439,Infuriate,Core Set 2020,$0.25,0.04
440,Intimidator Initiate,Shadowmoor,$0.25,0.21
441,Kick in the Door,Adventures in the Forgotten Realms Foil,$0.25,0.04
442,Krenko's Command,2013 Core Set,$0.49,0.84
443,Mana Geyser,Conspiracy,$1.79,1.13
444,Mind Stone,Kaldheim Commander Decks,$0.29,
445,Mogg War Marshal ,Dominaria Remastered Variants,$0.25,0.07
446,Needle Drop,Lorwyn,$2.99,2.96
447,Otherworldly Outburst,Eldritch Moon,$0.25,0.08
448,Renegade Tactics,Commander Legends,$0.25,0.05
449,Rile,Adventures in the Forgotten Realms Commander Decks,$0.25,0.14
450,Run Amok,Kaldheim Foil,$0.25,0.02
451,Rush of Adrenaline,Explorers of Ixalan,$0.25,0.07
452,Samut's Sprint,War of the Spark,$0.25,0.09
453,Skirk Prospector,Dominaria Remastered,$0.25,0.09
454,Spawning Breath,Rise of the Eldrazi,$0.25,0.25
455,Temur Battle Rage ,Mystery Booster/The List,$0.25,0.20
456,Thrill of Possibility ,Promo Pack,$0.25,0.03
457,Titan's Strength,Double Masters 2022 Foil,$0.25,0.08
458,Tormenting Voice,Dragons of Tarkir,$0.25,0.05
459,Warlord's Fury,Dominaria,$0.25,0.17
460,Brightstone Ritual,Onslaught,$1.39,1.65
461,Downhill Charge,Nemesis Foil,$3.59,0.36
462,Kiln Fiend,Duel Decks,$0.18,0.11
463,Library of Leng,4th Edition,$1.60,1.88
464,Panic,Ice Age,$0.18,0.23
465,Sandstone Needle,Mercadian Masques,$0.34,0.95
